id,created_at,text
1241016591917219840,Fri Mar 20 14:59:47 +0000 2020,"Nachbarschaftshilfen, Konzerte via Stream, Applaus für Ärzte und Pflegepersonal, Gesprächsangebote gegen Einsamkeit, Spenden für Clubs &amp; Bars.

Es ist verdammt schön, wie kreativ &amp; solidarisch unsere Gesellschaft sein kann.

#Corona #coronadeutschland #Coronakrise #COVID19"
1241016605817081858,Fri Mar 20 14:59:50 +0000 2020,"Es gibt 3 Varianten:
Corona 
1. stoppen, dann SUBITO
2. verlangsamen
3. sich ausbreiten lassen, Quarantäne für Risikogruppen 

Nur 2.Variante killt unsere Wirtschaft, hat geringe Vorteile.

Conclusio: Wir leben gerade die dümmste 2.Variante!
#Covid_19
#Coronakrise"
1241016622606888964,Fri Mar 20 14:59:54 +0000 2020,Ist vorgesehen. @ParmelinG hat es klar gesagt. En français.
1241016628386676737,Fri Mar 20 14:59:55 +0000 2020,"Unglaublich, das so etwas heute in der ach so modernen Welt notwendig ist, zu erklären. Wascht euch die Hände, Leute! #Covid_19 #haendewaschen  #flurfunk
https://t.co/M8QK76HyCa"
1241016651866202112,Fri Mar 20 15:00:01 +0000 2020,"#Coronakrise: Lockerung von Vorschriften nötig"" - fordert die #Fleischindustrie, die sich ohnehin selten an welche hält... #Krisengewinner https://t.co/5Qv6WHKZmy"
1241016654894596109,Fri Mar 20 15:00:02 +0000 2020,Finde ich richtig; klare Linie; kein Wischiwaschi wie die anderen Länder! Vielleicht seid ihr dadurch wieder eher fit!
1241016659600646151,Fri Mar 20 15:00:03 +0000 2020,"Auch wenn es ab und zu technische Probleme gibt, klappt das Lernen zuhause super mit @mebis_bayern!
#Coronakrise #schoolsclosed"
1241016666038960128,Fri Mar 20 15:00:04 +0000 2020,Aktuell gerade sehr hilfreich #ExponentialGrowth #Exponential #coronavirus #Coronakrise : https://t.co/wApppZQo56
1241016689967476737,Fri Mar 20 15:00:10 +0000 2020,Defender 2020 stoppen! Soldaten*innen und Bürger*innen schützen! Green and peace #Coronakrise
1241016735681175552,Fri Mar 20 15:00:21 +0000 2020,Ohnehin sind die Vietnamesen die beliebteste Minderheit in #Tschechien. In der #CoronaKrise gewinnt die Community durch zahlreiche Solidaritäts-Aktionen erst recht die Herzen der Tschechen. https://t.co/Uo3lstvJj0 https://t.co/or92qKyOGl
1241016743235063809,Fri Mar 20 15:00:23 +0000 2020,"Das Gute ist, dass diese Schicht sowieso nicht erwerbstätig war, sondern am staatlichen Tropf hing- denen fehlt es also an nichts- anders als bei Kurzarbeitern, Selbstständigen usw"
1241016747282620416,Fri Mar 20 15:00:24 +0000 2020,#coronavirusdeutschland #Coronakrise #coronadeutschland #CoronaVirusDE #StayAtHome verschiedene döner Läden haben die Anweisung bekommen Reserven zu bilden falls es eskaliert das es gung essen gibt... Also hier stimmt was vorne und hinten nicht... 😊
1241016776311418881,Fri Mar 20 15:00:31 +0000 2020,Verlängerung der #Coronakrise inkl Bewältigung 💯🚂 #Sesselhocker #Darmspülung #KriseAlsChance https://t.co/wYDodXV2Cq
1241016810763411458,Fri Mar 20 15:00:39 +0000 2020,"4
Im Gegensatz zu anderen Pandemien fielen ihr sehr viele 20 Jährige zum Opfer
Obwohl sich viele Wissenschaftler, angesichts der Gefahr drohender zukünftiger Pandemien, mit der Frage nach den Ursachen dieser Eigenschaften auseinandergesetzt haben sind diese nach wie vor ungeklärt https://t.co/wDLwJU9tjE"
1241016828933136384,Fri Mar 20 15:00:43 +0000 2020,Die Getränkewirtschaft kann die aktuell erhöhte Nachfrage während der #Coronakrise decken. Es sind genug #Getränkedosen für alle da! #Recyclingmeister #Getränkeverpackung @EinWegMitPfand @aluverband @metal_packaging @allesueberAlu @vpw_online @WVMetalle
1241016837560848384,Fri Mar 20 15:00:45 +0000 2020,"Am Besten einbuchten, das hedonistische Pack ..."
1241016850525425676,Fri Mar 20 15:00:48 +0000 2020,...die bezirksweise Schließung von Kinderspielplätzen zeigt Dysfunktionalität der Berliner Verwaltung exemplarisch ... #Berlin #Coronakrise
1241016893105897472,Fri Mar 20 15:00:58 +0000 2020,"@AlexanderKekule @Hallaschka_HH Negativ. Instrumentalisierung der #Coronakrise, um sich über Gebühr mit dem Ziel zu profilieren, jene Entscheidungs und Handlungsfähigkeit nachzuweisen, die seit 2015 an den Grenzen fehlt. 
Ich begreife nicht, wie man hinnehmen kann, dass die Grundrechte derart geschliffen werden"
1241016907781857281,Fri Mar 20 15:01:02 +0000 2020,"Die #CDU muss abgewählt werden. 1986 sagte Innenminister #Zimmermann, von #Tschernobyl drohe keinerlei Gefahr und tat nichts. Im Jahre 2020 sage Gesundheitsminister #spahn, Deutschland sei gut vorbereitet und tat nichts. #Coronakrise #CoronaVirusDE CDU ist #Pöstchenpartei."
1241016944150618113,Fri Mar 20 15:01:11 +0000 2020,"Ein 30-minütiges ""ARD extra"" über die weiteren Einschränkungen und die derzeitige Lage in der #Coronakrise – direkt nach der @tagesschau um 20:15 Uhr im Ersten."
1241016956729384961,Fri Mar 20 15:01:14 +0000 2020,"In Corona-Krise setzen Kliniken und Märkte auf Sicherheitsdienste
https://t.co/zVdoP3hcZ3
#Coronakrise #Convid_19 #Krisenmanagement #Sicherheit"
1241016968695685121,Fri Mar 20 15:01:16 +0000 2020,"Italienische Ärzte: Retten am Rande der Erschöpfung Leben und müssen entscheiden wen sie sterben lassen. 

Deutsche Ärzte:"
1241016994419421184,Fri Mar 20 15:01:23 +0000 2020,"Wenn die Entscheidungen so ausfallen, dann soll nicht der Virus in Schach gehalten werden,sondern das 🇩🇪VOlk. Ich hoffe doch , das ihr das nun https://t.co/L4bdlv9mLd muß
eben auch mal den Versuch machen,zwischen den Zeilen 
mit zu lesen!"
1241017012488482817,Fri Mar 20 15:01:27 +0000 2020,"Neuerdings ersetzen die Pressekonferenzen unserer Regierung und der Behörden das Radiohören bei der Arbeit 🙃

und man kann dabei auch noch sein Französisch und Italienisch üben!

#COVID19ch 
#PKBundesrat
#PKBAG
@BAG_OFSP_UFSP @BR_Sprecher"
1241017033845813250,Fri Mar 20 15:01:32 +0000 2020,"#coronavirus #COVID19 #Coronakrise 
@REWE_Supermarkt und andere Supermärkte: Bitte stellt endlich Tipp-Boxen für Eure Teams auf. Sie gehen Risiken ein, arbeiten hart und schwer und Danke sagen gehört dazu. Wer kann macht dazu, was im Restaurant bei gutem Service die Regel ist!"
1241017034869280769,Fri Mar 20 15:01:32 +0000 2020,Einige Urlauber wollen #Norderney offenbar nicht verlassen: Zusätzliche Polizisten sollen die Insel räumen. #Aurich #Coronakrise https://t.co/lBM1Yc2nO5
1241017075851841537,Fri Mar 20 15:01:42 +0000 2020,"Auch @OlafScholz, der #Sozialdemokrat, kümmert sich weiter um das #Kapital und nicht um die #Menschen:

// cc: @spdde &amp; spdbt"
1241017085918093312,Fri Mar 20 15:01:44 +0000 2020,"Deutsche Supermärkte in Zeiten der  #Coronakrise:

""Zahlen sie bitte nicht mit Bargeld. Danke!""

""Darf es noch etwas Bargeld sein? Hier gebührenfrei"" https://t.co/DvFrJ3pAUJ"
1241017089508376576,Fri Mar 20 15:01:45 +0000 2020,@MarcusWadsak ...und viel Klimafreundlicher 👍🏻
1241017092461203457,Fri Mar 20 15:01:46 +0000 2020,"Jeder sollte in der aktuellen Situation seine Freunde einfach mal fragen, ob es dem/derjenigen gut geht und ob er/sie Hilfe braucht. Denn nur zusammen kommt man durch diese schwierige Zeit. 
#Covid_19 #SocialDistanacing #Coronakrise https://t.co/PK1fdQQA04"
1241017107699163136,Fri Mar 20 15:01:50 +0000 2020,"Ich hab die @tagesschau-App auf dem Handy und eingestellt, dass ich Eilnachrichten bekomme. Dann ertönt immer der Tagesschau-Gong. Es könnte sein, dass ich ihn nach der #Coronakrise nicht mehr ertrage... 😬"
